term,source
黑皮板,bold
黑特版緊急尋人救命事件,bold
鳳山凱名事件,link_new
鯰亂,bracket
高富帥,bracket
預官預士板,link_new
電蝦板,link_new
鐵手套,bold
郎財女貌,bracket
那話兒不容易軟,bracket
還真機靈,bracket
過於強大,bracket
退選,bold
迷你妖五八,bold
軍旅板,link_new
身寸☆惹ㄦ」(射惹ㄦ) ,bold
跪著看電腦,bracket
跪著看銀幕,bracket
跪著滑手機,bracket
跪著推文,bracket
跪著打電腦,bracket
跪著打字,bracket
跪著上ptt,bracket
跪求,bracket
跪在電腦前,bold
跟鄉民認真就輸了,bracket
跟鄉民（酸民）認真就輸了,bracket
跟xx認真就輸了,bold
超爽的!撿到50機和40榴,bracket
超後悔投給柯P的,bold
超後悔投給柯P,bold
趁亂告白,bold
起飛,link_new
讓她生、讓她生！,bold
讓她生、讓她生,bracket
讓她生,bracket
讓他爆、讓他爆,bracket
讓他爆,bold
讓他昇、讓他昇,bracket
讓他昇,bold
謝謝你9527,bold
請退選,bold
課金爆死非洲人,bracket
詐死,bracket
記得發好發滿呀～,bracket
要求對手主動退選,bracket
西斯,link_new
複雜的防衛機制,bracket
藏獒,bold
膝蓋軟了,bracket
聚眾癱瘓看板正常運作處理規則,link_new
聖戰,bracket
羅禮士,link_new
神機,bracket
矽谷,bracket
真愛,bracket
男生真的要好好保護自己,bracket
男女板,link_new
男女,link_new
理由伯,bracket
版主,link_new
清淨,bracket
海外工作板,link_new
水桶哥,bold
母豬母豬夜裡哭哭,bracket
母豬母豬，夜裡哭哭,bracket
母豬板,bracket
母豬教殉教事件,bracket
母豬教教徒,bracket
母豬教出征事件,bracket
母豬教主,bold
母豬就應該給豬幹,bracket
殉教,bracket
樓下 obov,bracket
板皇條款,bracket
有神快拜,bracket
曹操生子當如？,bracket
日本戰國板,link_new
教主,bold
政治迫害,bracket
抓到了CNN 是綠的柯P請退選,bracket
抓到了，錢沒用完，請退選,bracket
抓到了，柯P又失言，請退選,bracket
我愛XXX,bracket
我媽問我為什麼（跪著看電腦）,bracket
我媽問我為什麼,bracket
我媽,bracket
快推，免得別人以為我們看不懂,bold
忍者亂太郎板,link_new
復活了,bracket
很多人,bracket
幹0糧雞掰,bracket
幹0糧母豬滾喇幹,bracket
幹0糧母豬滾喇ob'_'ov,bracket
已跪,bracket
工口芒果老師,bracket
尚書大人,bold
家人,bracket
室友,bracket
始作俑者,bracket
好人,link_new
女生擇偶的標準？,bracket
女板板風,bracket
多重帳號,link_new
在電腦前下跪,bracket
在銀幕前下跪,bracket
同秒OP,bracket
同事,bracket
史上最強手機,bracket
只能跪了,bracket
原來MoNeNe說的是真的,bracket
原po真是尚書大人,bracket
十二樓,bracket
包子讚讚讚,bracket
公主V.S.教主,bracket
傳說中的406出現了,bracket
個人認為引戰，等其他板主意見,bracket
依法行政，謝謝指教,bracket
你的406咧？,bold
事後想想不對,bracket
九品芝麻官,link_new
三朝★身寸☆惹ㄦ obov,bracket
三國板,link_new
zoeforce,link_new
X樓尚書大人,bracket
XXX我愛你,bracket
twod,link_new
ttb 我想幹死你,bracket
tos,link_new
tech_job板,link_new
sleeeve,link_new
Sieg G 嗡,bracket
RIPE_gender板,link_new
rest in peace,bold
R.I.P.,bold
QQ,link_new
PTT鄉民有約,bracket
Ptt鄉民晚報,bold
pttradio版,link_new
ptthistory版,link_new
ptt 三神器,bold
ptt 三大神器,bold
over post,bracket
OP,bold
obov,bold
Nokia 3310,bold
NBAdog,bold
MoNeNe,bold
mini158,bold
mini,bold
mentalk板,link_new
LUB,bold
koei板,link_new
KMT黨證,bracket
kinple,link_new
KingdomHuang版,link_new
joke等版,link_new
jacky66666,link_new
home-sale板,link_new
hail obov,bracket
gun5566,link_new
GG 輪班星人,bracket
CareerPlan板,link_new
$$$$$$$$$$$$,bold
#越想越不對勁,bracket
